"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Microsoft","MSFT","3272966144000","440.37","United States"
"2","Tencent","TCEHY","438688972800","46.63","China"
"3","Sony","SONY","113494294528","93.2","Japan"
"4","Nintendo","7974.T","63486727109","54.3468","Japan"
"5","NetEase","NTES","60012384256","92.56","China"
"6","Sea (Garena)","SE","39491616768","68.76","Singapore"
"7","Electronic Arts","EA","38935494656","146.52","United States"
"8","Take 2 Interactive","TTWO","26303100928","150.3","United States"
"9","Roblox","RBLX","25464725504","39.79","United States"
"10","Aristocrat","ALL.AX","22296842624","35.2672","Australia"
"11","Nexon","3659.T","17537174383","21.0395","Japan"
"12","Bandai Namco","7832.T","13341188221","20.3848","Japan"
"13","GameStop","GME","11030520832","25.88","United States"
"14","Konami Holdings","9766.T","10283841283","75.863","Japan"
"15","Krafton","259960.KS","8939489239","196.707","South Korea"
"16","Capcom","9697.T","8523065987","20.3785","Japan"
"17","Unity Software","U","6398411776","16.37","United States"
"18","International Games System","3293.TWO","6152411014","43.6648","Taiwan"
"19","Entain","ENT.L","5497391378","8.60368","Isle of Man"
"20","Kunlun Tech","300418.SZ","5187584705","4.21241","China"
"21","CD Projekt","CDR.WA","4108554449","41.1223","Poland"
"22","37 Interactive Entertainment","002555.SZ","3907490903","1.76183","China"
"23","Square Enix","9684.T","3881676797","32.3411","Japan"
"24","Kingsoft","3888.HK","3773900901","2.85553","China"
"25","Netmarble","251270.KS","3578939217","43.6804","South Korea"
"26","Sega Sammy Holdings","6460.T","3382957632","15.6748","Japan"
"27","Zhejiang Century Huatong","002602.SZ","3285101178","0.440802","China"
"28","Ubisoft","UBI.PA","3154691014","24.5694","France"
"29","Embracer Group","EMBRAC-B.ST","3141573589","2.3272","Sweden"
"30","Koei Tecmo","3635.T","3115759388","9.86505","Japan"
"31","CyberAgent","4751.T","3105149982","6.13324","Japan"
"32","Playtika","PLTK","2954178816","7.96","Israel"
"33","NCsoft","036570.KS","2787408314","137.261","South Korea"
"34","Kingnet Network","002517.SZ","2683422503","1.24664","China"
"35","Keywords Studios","KWS.L","2479738767","30.9401","Ireland"
"36","Giant Network Group","002558.SZ","2424957258","1.22873","China"
"37","Kadokawa","9468.T","2409394998","17.9408","Japan"
"38","Spin Master","TOY.TO","2304730462","22.1848","Canada"
"39","Playtech","PTEC.L","2169447386","7.12011","Isle of Man"
"40","Perfect World Entertainment","002624.SZ","2025617852","1.04415","China"
"41","Pearl Abyss","263750.KQ","2007677939","32.688","South Korea"
"42","Zhejiang Jinke Tom Culture Industry","300459.SZ","1685380434","0.479372","China"
"43","G-bits Network Technology","603444.SS","1599204335","22.1985","China"
"44","Ourpalm","300315.SZ","1534578714","0.559267","China"
"45","Paradox Interactive","PDX.ST","1455885509","13.7838","Sweden"
"46","Mixi","2121.T","1341367365","19.1962","Japan"
"47","DeNA","2432.T","1130687949","10.1543","Japan"
"48","Kakao Games","293490.KQ","1130093294","13.8201","South Korea"
"49","GungHo Online Entertainment","3765.T","1037450894","18.5891","Japan"
"50","Corsair Gaming","CRSR","1009966336","9.72","United States"
"51","Wemade","112040.KQ","975224027","29.1444","South Korea"
"52","XD Inc.","2400.HK","969872263","2.05393","China"
